Код,"Альтернативный код",Бренд,Наименование,Применение,"Цена закупки","Цена продажи",Количество,Склад,"Локальный склад?","Фото детали"
527454D000,,KIA-HYUNDAI,"Гайка задней ступицы","Carnival 06~ H-1 07~",0,68,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/527454d000-kia-02.jpg
CLKH45R,555303R000/555303U800/555402Z000/555403R000/555403U800/CLKH45L/DLKH75/IJG0062/IJG0063/J4890524/KM0702976/S555403R000/SL1061/SLH0030/SLH0042/SLH0087/SLK0030/SLKH75/SMSLH061/SP0829/SP0830/SQLKH41R/YLH61,CTR,"Стойка стабилизатора заднего правая/левая","Sonata YF IX35 (2WD) Sportage 11~ (2WD)",0,252,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/clkh45r-ctr-03.jpg
1421AARBG0,2546223000,"PYUNG HWA","Кольцо уплотнительное",Univ,0,5,3,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/1421aarbg0-pyung-hwa-01.jpg
281114N000,,KIA-HYUNDAI,"Корпус воздушного фильтра (верхняя часть)",EON,0,286,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/281114n000-hyundai-03.jpg
94535475,1411BAWAD0/1411BAWAE0/166.160/166.180/19012500/19012500B/32X47X6/KG0400078/KOS006/NJ377/Z6125/166160/15010600/19035397B/19035397/94535472/815323600/815323700/0928332016/0928332026/0928332040/0928332042/0928340001/0928360005/092833202600,"GENERAL MOTORS","Сальник 32x47x6",SUZUKI,0,63,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/94535475-general-motors-01.jpg
3734237400,140084P/15X35X11/140084/140432/140515/141012/048324514/140084Z/2312905E06/2312916A00/373422B100/62022NSE/62022RS/62022RS1/62022RSCM/62024W/6202CM/6202DDU/6202DDUC3E/6202DDUCM/6202DDUNX3C3/6202VVNCXCM/6202ZZ/6202ZZC3/6202ZZE/EC6202LLBC36KQM/F80111303/MD618626/NU202W/S930P61401/TMB202JRC4/717000300/996062202/1900900303/2120910001/2312961501,KOYO,"Подшипник генератора",Univ,0,63,3,"Кременчуг - 1",1,
582532P100,,KIA-HYUNDAI,"Регулятор зазора тормозных колодок","Sorento 06~",0,189,6,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/582532p100-kia-01.jpg
0K9Y111SC0,CIB013S,YPR,"Кольца поршневые (STD)","Sephia 1.5 1998 Avela, Pride",0,828,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0k9y111sc0-ypr-02.jpg
7117608B00,,"SSANG YONG","Уплотнитель крыла переднего",REXTON,0,50,54,"Кременчуг - 1",1,
KM0900865,598303K000/EX598303K000,TOPIC,"Датчик ABS передний правый","Sonata NF",0,711,1,"Кременчуг - 1",1,
92065702,G01CRKCN00156/KG0100054/KG0100054CHN/P92065702/92061200,"BIG TORQUE","Вкладыши коренные (0,50)","Leganza Nubira Tacuma 2,0i",0,410,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/92065702-big-torque-03.jpg
VSB026,,AXXIS,"Фіксатор різьби червоний 10г",,0,36,1,"Кременчуг - 1",1,
5532627000,BC1866,KIA-HYUNDAI,"Отбойник амортизатора заднего","Coupe ~01 Elantra 06~",0,126,6,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/5532627000-hyundai-03.jpg
5671745000,,KIA-HYUNDAI,"Втулка шкворня подвески","HD65 Chorus",0,99,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/5671745000-hyundai-03.jpg
2730103035,780HH16/BOH16/2730103015,KIA-HYUNDAI,"Катушка зажигания","1.2i KAPPA i10 14~ i20 14~",0,2115,1,"Кременчуг - 1",1,
8129729500,,KIA-HYUNDAI,"Пленка защитная",Univ,0,17,5,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/8129729500-hyundai-01.jpg
5557738102,ADG080201/CRH011/KBUH165/N4290509/90941491/5557738100/5557738101,YANGJI,"Втулка стабилизатора заднего","Sonata EF",0,11,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/5557738102-yangji-02.jpg
826192F010QZ,,KIA-HYUNDAI,"Заглушка ручки двери","Cerato 04~",0,32,6,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/826192f010qz-hyundai-01.jpg
351002B150,9590930008,KIA-HYUNDAI,"Дроссельная заслонка в сборе","1,4i Accent 15~ i30 i20 Ceed 15~",0,3375,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/351002b150-hyundai-13.jpg
218212G536,218212G536K/218213K556K,KIA-HYUNDAI,"Болт кронштейна двигателя","Carens, Magentis UNIV",0,5,4,"Кременчуг - 1",1,
95440C5100,,KIA-HYUNDAI,"Трансмиттер электронного ключа (Смарт ключ)","Sorento 15~",0,3429,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/95440c5100-kia-hyundai-02.jpg
581641H000,2275CERIIF/581644B400,KIA-HYUNDAI,"Пыльник направляющей суппорта тормозного","Accent 06-11 H-1 07~ i30 12~ IX35 IX20 Tucson Veloster",0,22,125,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/581641h000-hyundai-03.jpg
6619973646,KOS017/914924,KOS,"Сальник передний коленвала","Actyon 05~ Actyon Sports 06~ Kyron 05~ Rexton 01~",0,41,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/6619973646-kos-01.jpg
548132D100,ADG08073/H07BSHSD02853/N4270520/PXCRA011BF/90941587,OEM,"Втулка стабилизатора переднего","Elantra XD",0,23,4,"Кременчуг - 1",1,
5810225A00,1275GETZF/5583064G00/CCH604/GSPH252/KOS1200/PXEAA002F/PXEAA003F/Q0940207,KIA-HYUNDAI,"Рем. компл. пер. суппорта (на 2супп.)","Getz Accent",0,198,3,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/5810225a00-hyundai-01.jpg
CRKH34R,08100211/577244H100/BJI1018/CTH509/DRKH22/H07JNTSD03837/PXCUA022/QM0856P/RKH25/YRH18,CTR,"Тяга рульова права","H-1 08~",0,252,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/crkh34r-ctr-02.jpg
1881111051,0242229687/0K20W18110/BPR5ES11/MS851237/OE113/W16EXRU11/W16TT,KIA-HYUNDAI,"Свеча зажигания","Galloper 3.0L; Rio 1,3L",0,66,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/1881111051-hyundai-02.jpg
2231127001,K04GSKGR00528/K04GSKMT00558/KM0400114GR/KM0400114MT/2231127000,TOPIC-MT,"Прокладка ГБЦ","Santa Fe 2.0 CRDI  Carens,Sportage,Cerato T=1.1",0,383,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2231127001-topic-mt-01.jpg
253334H000,,KIA-HYUNDAI,"Кронштейн крепления радиатора верхний","H-1 08~ 2.5TDi",0,68,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/253334h000-hyundai-02.jpg
976263C000,,KIA-HYUNDAI,"Клапан кондиционера расширительный","Magentis 00-05",0,1193,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/976263c000-kia-hyundai-01.jpg
K04GSKRU00831,ADG06758/KM0400192RU/P1GA052/155344701/2244127400,KAP,"Прокладка клапанной крышки","Santa Fe 06~ 2,2TCi Tucson 2,0TCi i30 Sportage",0,45,1,"Кременчуг - 1",1,
81996F1000,,KIA-HYUNDAI,"Ключ-заготовка (лезвие)","Sportage 15~",0,279,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/81996f1000-kia-hyundai-02.jpg
2125242910,,KIA-HYUNDAI,"Вкладыш балансировочного вала (ремонт/1.00)","H-200 H-1 4D56 TCI",0,144,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2125242910-hyundai-01.jpg
281131Y100,A28690/A9617/AP1225/C22015/CA11432/EAF00024M/FAK29S/IPAK048/J1320330/KAF7314/KM0200082/LFAF205/LX3271/N1320329/PAB081/S281131Y100/WA9733/2811304000/28123210014,"OEM KOREA","Фильтр воздушный","Picanto 12~ i10 1.2i",0,90,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/281131y100-oem-korea-03.jpg
1411CAZAI1,0HE1910155/0K77010155/0RF0110155/1411CBOAI0/HE1910155/K77010155/KJ710/KOVS043/MRF0110155A/523917/3250231/12005400/125343802,"PYUNG HWA","Сальник клапана","Sportage 2.2L  Besta 95-99 Sportage 95~ DIZEL Besta, Mazda E2200, Ford",0,10,16,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/1411cazai1-pyung-hwa-01.jpg
2811322051,A1364/A25076/A2802/A9302/B20503/B20503PR/C2559/CA7775/GFAH005/IPAH016/J1320505/KM0200019/LFAF207/LX745/MAF004/PA4043/PAA012/SFA5076/WA6283/Z02AIRSD00130/2811322050,Y.F.I.,"Фильтр воздушный","Accent 94~ Coupe 96~ Elantra 95~",0,50,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2811322051-y.f.i.-01.jpg
582533E000,,KIA-HYUNDAI,"Регулятор зазора тормозных колодок","Sorento 12~ Santa Fe 10~ Azera",0,198,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/582533e000-kia-02.jpg
KM0900068,KM0900068CHN/3517037100/3517037100FFF/550399A/DUA011/KM0900068RBLT,TOPIC,"Датчик положения дроссельной заслонки","Sportage Sonata Santa Fe Trajet",0,297,2,"Кременчуг - 1",1,
KG0100054,G01CRKCN00156/KG0100054CHN/P92065702/92061200/92065702,TOPIC,"Вкладыши коренные (0,50)","Leganza Nubira Tacuma 2,0i",0,275,1,"Кременчуг - 1",1,
361452F000,,F.Y.C.,"Бендикс стартера","Santa Fe 10~ IX35 10~ 2,2TDi 2,0TDi Sorento 09~ Sportage 10~",0,351,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/361452f000-f.y.c.-04.jpg
283122B000,KM0401017RU/Z04GSKRU00876,TOPIC,"Прокладка корпуса дроссельной заслонки","Elantra 06~ i20 08~ i30 07~ Carens 06~ Ceed 06~ Cerato 06~  Soul 08~",0,14,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/283122b000-topic-01.jpg
0K77010271,0R20110271F/0R20110271G/0R20210271/GGHK020/K04GSKGR00914/K04GSKGR00952/KGHK020/KM0400526MT/KM0400526NA/PGBN052/Z04GSKMT00578/Z04GSKNA00629,TOPIC-NA,"Прокладка ГБЦ","Besta 2.2D",0,167,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0k77010271-topic-na-01.jpg
0022127210,32207C,NSK,"Подшипник дифференциала","Sportage 98~",0,302,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0022127210-nsk-02.jpg
VSB054,,AXXIS,"Очиститель универсальный  650ml",Univ,0,50,3,"Кременчуг - 1",1,
KG0400100,KG0400100NA/P1PC001/96179238,TOPIC,"Прокладка крышки коробки передач",Lanos,0,36,4,"Кременчуг - 1",1,
495982E000,0K01125060/0N01025060A/175725060A/8BS125060/ADM53902/ASHYTUC/ASMZ9/CC526/G93001/G93001JC/GUMZ9/J2923000/KUJ006/TMZ109/U960/27500006/175725060/175789251,GMB,"Крестовина карданного вала",Univ,0,288,3,"Кременчуг - 1",1,
NC2104,97133B2000/AC0230/ADG02588/AF5202/AF5202A/B2F79AQ000/CU21009/E3954LI/F178FGDAA01P/GFCK028/J1340319/K1405/KC6117/KFCK028/KRSKFCK028/PMB024/PMBC24/PMCPMB024/S3273C/S97133B2000/WP2162/WXWP2162/1987435070,"CLEAN FILTER","Фільтр салону",Soul,0,176,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/nc2104-clean-filter-02.jpg
58164H1030,,KIA-HYUNDAI,"Пыльник направляющей суппорта тормозного",Galloper,0,21,16,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/58164h1030-hyundai-02.jpg
92405A2000,,KIA-HYUNDAI,"Катафот заднего  бампера левый","Ceed 12~",0,720,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/92405a2000-kia-02.jpg
CVKH78,1311CCJAH2/553422J000/553422P000/553423K000/DCC010155/157023,CTR,"Сайленблок заднего верхнего рычага","Sorento 09~ Santa Fe 09~ Sonata NF, Santa Fe 06~",0,99,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/cvkh78-ctr-02.jpg
218212G536K,218212G536/218213K556K,KIA-HYUNDAI,"Болт кронштейна двигателя","Carens, Magentis UNIV",0,5,234,"Кременчуг - 1",1,
254112W000,KM0600736,TOPIC,"Патрубок радіатора верхній","Santa Fe 12~",0,167,1,"Кременчуг - 1",1,
252832E510,,GATES,Натяжитель,"Optima гибрид",0,4482,1,"Кременчуг - 1",1,
95681C5000,,KIA-HYUNDAI,"Датчик ABS задний правый","Sorento 15~",0,1170,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/95681c5000-kia-hyundai-02.jpg
2102023360,2102023260,KIA-HYUNDAI,"Вкладыши коренные (STD-D)","2.0i Ceed, Cerato, Carens, New Sportage 2.0i",0,176,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2102023360-kia-hyundai-03.jpg
MD0013325Z,,KOS,"Ремкомплект переднего суппорта",Pride,0,59,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/md0013325z-kos-01.jpg
4950724A00,4950824A00,JPN,"Шрус наружный отдельно ВОЗВРАТУ НЕ ПОДЛЕЖИТ!",Pony,0,464,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/4950724a00-jpn-02.jpg
241804A010,241804A000/241804A001/241804A002/CETA038/K01CAMCN00015/KM0100607/KM0100607CHN/422006310,KIA-HYUNDAI,"Рокер выпускной","Sorento 2.5TD (D4CB) H-1 D4CB",0,261,18,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/241804a010-hyundai-02.jpg
546263A000,,KIA-HYUNDAI,"Отбойник переднего амортизатора",Tradjet,0,180,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/546263a000-hyundai-02.jpg
CLKK23L,548113E010/548113E110/548113E110AS/CLK031/DLKK35/K07LNKSD03897/LKK33L/PXCLB032/QL0624P/SL2046/SLK0069/SLKK35/SP0845/SQLKK16L/10110127,CTR,"Стойка стабилизатора переднего левая","Sorento 04-09",0,180,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/clkk23l-ctr-02.jpg
H04GSKRU00832,DN2244132010/EGCNH00066/KM0400195RU/2244132000/2244132001/2244132010,KAP,"Прокладка клапанной крышки","H-1 2.4i, H-100 97~",0,41,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/h04gskru00832-kap-01.jpg
81996G6100,,KIA-HYUNDAI,"Ключ-заготовка (лезвие)","Picanto 17~",0,135,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/81996g6100-kia-hyundai-03.jpg
863813K000,863813K001,KIA-HYUNDAI,"Пленка стойки двери задней левой передняя","Sonata NF",0,57,1,"Кременчуг - 1",1,
2125332902,MD103723,KIA-HYUNDAI,"Вкладыш балансировочного вала (1,00)","2,4i/2,0i 97~ Sonata Lantra Joice",0,315,1,"Кременчуг - 1",1,
977622B200,HC977622B200,KIA-HYUNDAI,"Трубка кондиционера","Santa Fe 05~",0,1683,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/977622b200-hyundai-01.jpg
2661105001,,KIA-HYUNDAI,"Щуп уровня масла в двигателе",EON,0,113,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2661105001-hyundai-02.jpg
24734,024734/305006/495941H111/495941H112,SPIDAN,"Пыльник шруса наружный (комп.)","Ceed 2.0i",0,239,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/24734-spidan-01.jpg
2811222602,H12AICSD01464/KM1200071/2811222601,KIA-HYUNDAI,"Корпус воздушного фильтра (нижняя часть)","Accent 99-05",0,351,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2811222602-hyundai-03.jpg
96307712,,"GENERAL MOTORS","Клапан выпускной","Chevrolet Epica (V200) (V250)",0,194,24,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/96307712-general-motors-01.jpg
KM0100293,TH11383G1/1338033/1338038/90067918/2550022000/2550022050/2550022200/2550022250,TOPIC,Термостат,"Sonata I 1,8L 2,0L Lantra I Pony 1,2L 1,4L Stellar",0,198,1,"Кременчуг - 1",1,
7383009100LAM,,"SSANG YONG","Накладка верхняя крышки багажника",KYRON,0,268,1,"Кременчуг - 1",1,
FDB968,4251.19/4254.52/GDB1106,VOGEL,"Колодки тормозные дисковые передние","Citroen Fiat",0,855,1,"Кременчуг - 1",1,
KG0100056,410093FSTD/G01PSTSD01075/92067238,TOPIC,"Кольца поршневые (STD)","Nubira Lachetti",0,783,1,"Кременчуг - 1",1,
9522538000,,SINWON,"Реле электрическое",,0,108,5,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/9522538000-sinwon-01.jpg
CLKK5,0K2A534150/0K2A534150A/0K2A534150B/0K2A534150C/DLKK18/J60300/K07LNKSD03887/KGA2A28170/KM0701259/LKK01/PXCLB017/QL0600P/SL2018/SLKK18/SMSLK018/YLK03/YLK18/10110090,CTR,"Стойка стабилизатора переднего","SEPHIA 2 SHUMA",0,198,2,"Кременчуг - 1",1,
565172T000,,KIA-HYUNDAI,"Втулка рулевой рейки","Optima 12~",0,225,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/565172t000-hyundai-kia-03.jpg
K01CRKCN00143,210204A900/210204A920/210204A930/HCJB052S/KM0100520/KM0100523,KAP,"Вкладыши коренные (STD-A) (на шейку)","H-1 02~ Sorento 2.5TD (D4CB)",0,225,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/k01crkcn00143-kap-03.jpg
2306022952,BTH051020050/CJA026B/KM0100183/KM0100183CHN/Z01CONCN00068/2306026902,KIA-HYUNDAI,"Вкладиші шатунні (0.50)","Accent 95-99 1.5l",0,473,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2306022952-hyundai-01.jpg
416004H100,ADG034107/CMLA046/J2500541/KAC1070,"X2 KOREA","Цилиндр сцепления главный","H-1 (08~)",0,666,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/416004h100-x2-korea-05.jpg
495983E000,,GMB,"Хрестовина карданного валу",Sorento,0,288,3,"Кременчуг - 1",1,
ADG02587,87139F4010/97133C5000/AC9411/AF5139/AF5139A/C5H79AK000/CU24017/J1340320/K00000135P/K1381/KCF6321/N1340315/PF2285/S97133C5000/SMCFK016E/WP2160/WXWP2160/49361898/49361899,"BLUE PRINT","Фільтр салону","Sorento 14~ TOYOTA C-HR  2016~",0,171,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/adg02587-blue-print-02.jpg
253802G000,B100BP5AA01P/H253802G000/HC253802G000/NABA032,HCC,"Дифузор радіатора в зборі","Magentis 05-09 2,0L",0,1908,1,"Кременчуг - 1",1,
ADG02591,21HYH37/FAAHY37/J1340531/49384651/49384652/9716359000,BLUEPRINT,"Фильтр салона",H350,0,216,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/adg02591-blueprint-03.jpg
866313S100,866303S000/866303S100/866313S010/FP3230980/3230980,KIA-HYUNDAI,"Усилитель заднего бампера","Sonata YF",0,3555,1,"Кременчуг - 1",1,
977012W050,852734N/8FK351002231/977012W000/AC0085/CA500MMBDC14JP/HC977012W000/HC977012W050/HYK340/T623365/890687/8623365,HCC,"Компрессор кондиционера","SantaFe 12~",0,6354,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/977012w050-hcc-04.jpg
1311AAOAH1,CVKK30/EG5455138010/KM0700508PH/QS0836P/5455138000/5455138010,"PYUNG HWA","Сайлентблок переднего нижнего рычага (передний)","Magentis ~06 Sonata 98-01",0,108,2,"Кременчуг - 1",1,
866213E500,,KIA-HYUNDAI,"Абсорбер заднего бампера","Sorento 06~",0,234,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/866213e500-kia-05.jpg
935702P300VA,,KIA-HYUNDAI,"Блок управления стеклоподъёмниками, передняя левая дверь","Sorento 09~",0,3285,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/935702p300va-kia-hyundai-03.jpg
555132S100,CRH099/CVKH158/DCC010233,KIA-HYUNDAI,"Втулка стабилизатора заднего","IX 35 4WD",0,63,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/555132s100-hyundai-01.jpg
1411AALAM0,1411ABLAM0/19027874B/811AZM0/K04SILSD00955/KM0400059/KOS031/2132142010/2132142011/2142132030/2142133134,"PYUNG HWA","Сальник вала балансира","Galloper TDI, H-100,H-1 TDI",0,23,13,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/1411aalam0-pyung-hwa-03.jpg
1421AABBUA,MD707636/4530421700/4615836000/4615836001,"PYUNG HWA","Кольцо уплотнитнительное насоса маслянного АКПП",Univ,0,47,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/1421aabbua-pyung-hwa-02.jpg
5853207000QQK,,KIA-HYUNDAI,"Крышка бачка гидроусилителя руля",Picanto,0,18,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/5853207000qqk-kia-02.jpg
PAB065,0986AF2202/281132F800/AF1634/B20333/B20333PR/F22015/GFAK041/H01KA001/IPAK037/J1320325/K02AIRSD00167/KFAK041/KM0200087/LX2890/MAF041/MHLX2890/OKAF041/PMBPAB065/PR15122641/QA0633/S281132F800/SMAFK035,PMC,"Фільтр повітряний","Cerato 06~09 1.6L",0,108,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/pab065-pmc-02.jpg
4658039050,,KIA-HYUNDAI,"Щуп АКПП",Tucson,0,198,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/4658039050-hyundai-02.jpg
81996H8100,,KIA-HYUNDAI,"Ключ-заготовка (лезвие)","Rio 17~",0,284,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/81996h8100-kia-hyundai-03.jpg
25329A5800,,KIA-HYUNDAI,"Тройник патрубков охлаждення двигателя","i30 12~",0,432,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/25329a5800-kia-03.jpg
495941H311,,SPIDAN,"Пыльник шруса наружный","i30 Ceed CRDi",0,275,3,"Кременчуг - 1",1,
2412126701,,KIA-HYUNDAI,"Кольцо опорное распредвала","Accent 06-10 1,6i Rio 05-10",0,77,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2412126701-kia-01.jpg
663212S050,,KIA-HYUNDAI,"Крыло переднее правое","IX 35 10~",0,1283,2,"Кременчуг - 1",1,
96307714,1411BAMAI0/705421800,"GENERAL MOTORS","Сальник клапана","Epica Evanda",0,35,5,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/96307714-general-motors-01.jpg
861603E500,,KIA-HYUNDAI,"Решетка вентиляционная правая","Sorento 06-09",0,585,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/861603e500-kia-02.jpg
2493031460,,"SSANG YONG","Накладка задняя защитная","ACTYON KYRON",0,558,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2493031460-ssang-yong-02.jpg
FDB969,1J0698151K/1J0698151M/FDB1463/GDB1275,VOGEL,"Колодки тормозные дисковые передние","Audi Volkswagen Seat Skoda",0,698,1,"Кременчуг - 1",1,
222123C100,222123C800/KM0100563/KM0100563CHN,KAP,"Клапан выпускной","3,3L Sonata NF Opirus Sorento",0,86,3,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/222123c100-kap-01.jpg
971133S000,D316EB9AA01P/H971133S000/HC971133S000,HCC,"Двигун обігрівача з крильчаткою","Sonata YF 10~ Optima 11~",0,1440,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/971133s000-hcc-04.jpg
81310D3010FFF,81310D3010,KIA-HYUNDAI,"Замок дверей передніх лівих","Tucson 15~ iX35 15~",0,1665,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/81310d3010fff-kia-hyundai-03.jpg
6212MC,10X800/KG1100045/6792801/028145271L/96144846/9028087210A0800C,GATES,"Ремень клиновый",Univ,0,59,1,"Кременчуг - 1",1,
235102B110,235102B100/235102B110S,KIA-HYUNDAI,"Шатун двигуна","Solaris 1.6i 11~ i20 1.4i",0,1440,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/235102b110-hyundai-03.jpg
2306026415,CJA026S/2306022710/2306026210,KIA-HYUNDAI,"Вкладиші шатунні (STD-A) (BLACK) 1 шийка","1.6i Accent 06~",0,149,7,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2306026415-hyundai-01.jpg
527103K050,,KIA-HYUNDAI,"Цапфа задняя левая (w/ABS)","Sonata NF Grandeur",0,1773,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/527103k050-hyundai-03.jpg
2531038005,253103C001/D70506TT/FP32A674/FP32A674X/H2531038005/HC2531038001/KRDH017/LRCHUSO98101/PL811802/PXNDA012/R2A1BBWCA02P/R302730510/R302730520/R302730530/S2531038001/Z05RADSD00355/2531009000/2531038001/2531038055,HCC,"Радіатор охолодження двигуна","Sonata III 98-04
Magentis 98-04",0,1895,1,"Кременчуг - 1",1,
0072741023,072741023,KIA-HYUNDAI,"Втулка педали сцепления","Clarus Sportage 94~ Pregio 97~ Sephia",0,8,3,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0072741023-kia-01.jpg
9780217000,978022H000/978023L000/978532D000/F278DEYAA01P/F278MAXAC02P/F278MAXAC04P/9780225000,KIA-HYUNDAI,"Рессивер кондиционера (наполнитель)",Univ,0,131,11,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/9780217000-hyundai-02.jpg
924062P020,2231304RUE/4172881X/K3P061,KIA-HYUNDAI,"Фонарь правый (крышки багажника)","Sorento 09~",0,1656,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/924062p020-kia-03.jpg
CA500MMBDC14JP,852734N/8FK351002231/977012W000/977012W050/AC0085/HC977012W000/HC977012W050/HYK340/T623365/890687/8623365,HCC,"Компрессор кондиционера","SantaFe 12~",0,6354,1,"Кременчуг - 1",1,
952203A300,GSWH053/PXPFA045/9522038000,KIA-HYUNDAI,"Реле электрическое",Univ,0,167,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/952203a300-kia-05.jpg
CVKH107,GBUH163/5481302000/5481302100,CTR,"Втулкa стабилизатора переднего",Atos,0,20,2,"Кременчуг - 1",1,
284182A100,KM0401039MT/P1KA001,TOPIC-MT,"Прокладка клапана EGR",Univ,0,32,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/284182a100-topic-mt-01.jpg
93571F1200,,KIA-HYUNDAI,"Блок кнопок управления стеклоподъёмниками, передняя левая дверь","Sportage 15~",0,1539,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/93571f1200-kia-hyundai-03.jpg
